freq_hz,gain_mag,gain_db
2.041737939999999944e+05,6.147901225117822221e-01,-4.225462373643907199e+00
2.089296130000000121e+05,6.059720896126948864e-01,-4.350947569688711880e+00
2.137962090000000026e+05,5.971333966561256368e-01,-4.478572775732339473e+00
2.187761620000000112e+05,5.882804992503127828e-01,-4.608310953663615095e+00
2.238721140000000014e+05,5.794198001509607288e-01,-4.740133360091613568e+00
2.290867650000000140e+05,5.705576280570237024e-01,-4.874009679316858801e+00
2.344228820000000123e+05,5.617002199720707578e-01,-5.009908120923379116e+00
2.398832919999999867e+05,5.528537025174533603e-01,-5.147795550947441789e+00
2.454708919999999925e+05,5.440240774171078986e-01,-5.287637577433867087e+00
2.511886430000000109e+05,5.352172065664103640e-01,-5.429398659785086068e+00
2.570395780000000086e+05,5.264387959159342323e-01,-5.573042257511305664e+00
2.630267989999999991e+05,5.176943844024056718e-01,-5.718530918492110260e+00
2.691534799999999814e+05,5.089893317131334305e-01,-5.865826405393402609e+00
2.754228699999999953e+05,5.003288096276136132e-01,-6.014889782345162139e+00
2.818382930000000051e+05,4.917177897519356411e-01,-6.165681583582984793e+00
2.884031500000000233e+05,4.831610405330161173e-01,-6.318161842195200606e+00
2.951209230000000098e+05,4.746631169336956169e-01,-6.472290264916077618e+00
3.019951720000000205e+05,4.662283592455870318e-01,-6.628026264130316036e+00
3.090295430000000051e+05,4.578608865120117333e-01,-6.785329103568853881e+00
3.162277660000000033e+05,4.495645930018358216e-01,-6.944158008808564375e+00
3.235936570000000065e+05,4.413431500225103443e-01,-7.104472192023902899e+00
3.311311209999999846e+05,4.332000035140242122e-01,-7.266230970476296847e+00
3.388441560000000172e+05,4.251383746535565833e-01,-7.429393842878326382e+00
3.467368499999999767e+05,4.171612614211479553e-01,-7.593920559663917658e+00
3.548133890000000247e+05,4.092714413717298827e-01,-7.759771180262893253e+00
3.630780549999999930e+05,4.014714722431325100e-01,-7.926906187659321645e+00
3.715352289999999921e+05,3.937636986137219575e-01,-8.095286486072803100e+00
3.801893960000000079e+05,3.861502551134585737e-01,-8.264873478103247351e+00
3.890451450000000186e+05,3.786330716801836749e-01,-8.435629105863259980e+00
3.981071709999999730e+05,3.712138793951387239e-01,-8.607515884406550910e+00
4.073802779999999912e+05,3.638942120462675955e-01,-8.780497041413964254e+00
4.168693829999999725e+05,3.566754204982316434e-01,-8.954536361581148185e+00
