TIME,V(IN),V(OUT),V(VSS),V(VDD),V(A)
1.10191353e-06,2.09746938e+00,3.29998502e+00,0.00000000e+00,3.30000000e+00,6.94339464e-02
1.12006300e-06,2.18483560e+00,3.29998825e+00,0.00000000e+00,3.30000000e+00,4.33604288e-02
1.13821247e-06,2.26330564e+00,3.29999389e+00,0.00000000e+00,3.30000000e+00,2.58489198e-02
1.15636194e-06,2.33186016e+00,3.29999473e+00,0.00000000e+00,3.30000000e+00,1.46477327e-02
1.17451141e-06,2.38960862e+00,3.29999851e+00,0.00000000e+00,3.30000000e+00,7.98871830e-03
1.19266088e-06,2.43580086e+00,3.29999785e+00,0.00000000e+00,3.30000000e+00,4.39316171e-03
1.21081035e-06,2.46983682e+00,3.30000034e+00,0.00000000e+00,3.30000000e+00,2.61053948e-03
1.22895982e-06,2.49127438e+00,3.29999886e+00,0.00000000e+00,3.30000000e+00,1.81718179e-03
1.24710929e-06,2.49983506e+00,3.30000086e+00,0.00000000e+00,3.30000000e+00,1.55095034e-03
1.26525876e-06,2.49540764e+00,3.29999926e+00,0.00000000e+00,3.30000000e+00,1.67677483e-03
1.28340823e-06,2.47804965e+00,3.30000132e+00,0.00000000e+00,3.30000000e+00,2.25368702e-03
1.30155770e-06,2.44798656e+00,3.30000008e+00,0.00000000e+00,3.30000000e+00,3.63662276e-03
1.31970717e-06,2.40560891e+00,3.30000282e+00,0.00000000e+00,3.30000000e+00,6.51487142e-03
1.33785664e-06,2.35146719e+00,3.30000275e+00,0.00000000e+00,3.30000000e+00,1.20220467e-02
1.35600611e-06,2.28626470e+00,3.30000693e+00,0.00000000e+00,3.30000000e+00,2.15652187e-02
1.37415558e-06,2.21084846e+00,3.30000859e+00,0.00000000e+00,3.30000000e+00,3.68118961e-02
